session_id,x_um,y_um,date_yyyymmdd,time_hhmm,total_captured_sweeps,saved_sweeps,sweeps_per_block,samples_per_block,csv_path,meta_path,timestamp,notes,fs_hz,force_available,x_force_available,z_force_available,total_force_samples,calibration_offset_x,calibration_offset_z,force_note,timing_csv
adc_data_20260326_1507,,,20260326,1507,38608,38608,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1507.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1507_metadata.json,2026-03-26 15:07:58,stimulus 1,1113.5857461024498,false,false,false,0,0.0,0.0,Force data not available,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1507_block_timing.csv
adc_data_20260326_1520,,,20260326,1520,213912,213912,1,5,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1520.csv,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1520_metadata.json,2026-03-26 15:20:44,no stimulus,1127.3957158962796,false,false,false,0,0.0,0.0,Force data not available,/Users/jiayi/Princeton Dropbox/Jiayi Zhang/sensetics/03_26_pzr_test/adc_data_20260326_1517_block_timing.csv
