CH1_pk98,CH1_p2p99,CH1_eng,CH1_posmean,CH2_pk98,CH2_p2p99,CH2_eng,CH2_posmean,CH3_pk98,CH3_p2p99,CH3_eng,CH3_posmean,CH4_pk98,CH4_p2p99,CH4_eng,CH4_posmean,CH5_pk98,CH5_p2p99,CH5_eng,CH5_posmean,CH1_pk98_norm,CH2_pk98_norm,CH3_pk98_norm,CH4_pk98_norm,CH5_pk98_norm,force_peak,channel_tapped
19.0,32.879999999999995,63.647887323943664,4.056338028169014,17.75999999999999,35.39999999999999,58.502347417840376,3.1220657276995305,14.0,27.75999999999999,41.291079812206576,2.8262910798122065,10.0,24.88,33.056338028169016,2.4413145539906105,40.0,68.39999999999998,278.18779342723,8.87793427230047,0.18856689162365833,0.1762604208019037,0.13894402540690615,0.09924573243350439,0.39698292973401755,12484.699999999997,5
17.519999999999982,35.27999999999998,53.690140845070424,3.68075117370892,16.5,33.75999999999999,49.52699530516432,2.863849765258216,11.759999999999991,23.879999999999995,31.793427230046948,2.460093896713615,9.0,19.759999999999994,24.36150234741784,2.164319248826291,39.0,63.639999999999986,234.15023474178403,7.746478873239437,0.18682021753038816,0.17594369801663287,0.1253998720409455,0.09596928982725429,0.4158669225847686,11855.699999999997,5
16.25999999999999,34.39999999999999,55.22652582159625,2.8896713615023475,15.0,32.519999999999996,50.708920187793424,2.976525821596244,10.0,27.64,34.431924882629104,2.0375586854460095,9.5,22.759999999999994,27.21713615023474,2.1455399061032865,30.75999999999999,57.0,215.63849765258215,5.901408450704225,0.1994602551521074,0.18400392541707336,0.12266928361138224,0.11653581943081313,0.37733071638861165,11721.699999999997,5
18.0,35.879999999999995,61.36150234741784,4.009389671361502,17.519999999999982,35.0,56.863849765258216,3.084507042253521,14.519999999999982,31.51999999999999,40.859154929577464,2.8215962441314555,11.759999999999991,25.759999999999998,30.389671361502348,1.9812206572769953,44.51999999999998,73.16,255.1361502347418,7.971830985915493,0.16930022573363282,0.16478555304740244,0.13656884875846365,0.11060948081264003,0.4187358916478517,12252.699999999997,5
17.0,32.879999999999995,58.25821596244131,3.0093896713615025,17.0,32.0,50.23004694835681,2.272300469483568,11.0,26.63999999999999,38.478873239436616,2.103286384976526,9.0,22.88,29.990610328638496,1.784037558685446,38.0,62.75999999999999,268.03286384976525,7.924882629107981,0.18478260869565016,0.18478260869565016,0.11956521739130306,0.09782608695652067,0.4130434782608651,11873.699999999997,5
19.75999999999999,33.75999999999999,56.093896713615024,3.6948356807511735,16.0,36.519999999999996,58.04225352112676,3.15962441314554,13.0,27.0,36.624413145539904,2.563380281690141,11.0,21.88,28.793427230046948,2.295774647887324,34.0,67.03999999999996,224.91079812206573,6.436619718309859,0.21075085324231851,0.17064846416382073,0.13865187713310434,0.11732081911262675,0.36262798634811905,11674.699999999997,5
16.75999999999999,32.75999999999999,57.53521126760563,3.2253521126760565,20.75999999999999,35.0,59.431924882629104,3.5774647887323945,12.0,24.88,36.64319248826291,2.464788732394366,10.759999999999991,23.759999999999994,30.422535211267604,2.023474178403756,32.0,60.639999999999986,213.71830985915494,6.380281690140845,0.18162115301256843,0.22496749024707166,0.13003901170350968,0.11660164716081359,0.3467706978760258,11655.699999999997,5
16.0,29.759999999999994,57.04225352112676,3.7699530516431925,15.0,31.759999999999994,49.075117370892016,3.0187793427230045,11.0,29.279999999999994,37.178403755868544,2.68075117370892,9.0,21.759999999999994,28.380281690140844,2.328638497652582,37.01999999999998,62.879999999999995,249.4237089201878,7.338028169014085,0.18177686889343128,0.17041581458759184,0.12497159736423401,0.1022494887525551,0.42058623040217646,11586.699999999997,5
17.75999999999999,31.0,50.63380281690141,2.807511737089202,17.0,32.879999999999995,47.305164319248824,2.816901408450704,10.0,24.759999999999998,33.075117370892016,1.9953051643192488,9.759999999999991,22.879999999999995,25.23474178403756,2.0187793427230045,35.0,59.76,220.11737089201878,7.032863849765258,0.1983914209115259,0.1899016979445913,0.11170688114387724,0.10902591599642408,0.39097408400357037,11712.699999999997,5
18.0,37.15999999999997,63.244131455399064,3.859154929577465,19.519999999999982,35.75999999999999,55.23474178403756,2.9530516431924885,13.759999999999991,25.759999999999994,38.81220657276995,3.028169014084507,12.759999999999991,23.0,31.422535211267604,2.6384976525821595,35.51999999999998,62.27999999999998,233.33333333333334,7.023474178403756,0.18079550020088217,0.19606267577340095,0.13820811570911873,0.12816392125351417,0.356769787063074,11821.699999999997,5
14.759999999999991,30.639999999999986,50.755868544600936,3.211267605633803,15.759999999999991,30.879999999999995,48.413145539906104,2.915492957746479,11.759999999999991,26.39999999999998,33.25821596244131,2.4788732394366195,10.0,20.88,24.305164319248828,2.131455399061033,36.0,63.75999999999999,220.06103286384976,6.370892018779343,0.16719528772088615,0.17852288173991637,0.13321250566379544,0.11327594019030233,0.4077933846850884,11594.699999999997,5
